videoId,author,text,publishedAt,likeCount,search_keyword,video_title,labelling
xEKAVRwwWIk,@Danibudaksunda,"Lah banyak congorr buat yg sok agamis dan HAM HAM,,giliran ada kebijkaan seperti yg kdm lakukan sllu di bilang bisa melanggar HAM,,tapi yg melakukan pembnataian oleh klompok KKSB kalian dari HAM kemna saja ko pada diam saja,,kenapa gk berani menyuarakan,,makin menjijikan manusia"" penghuni negara konoha ini",2025-05-02T18:14:52Z,2,vasektomi dedi mulyadi,Respons Warga Soal Ide Dedi Mulyadi Jadikan Vasektomi Syarat Bansos | AKIM tvOne,3
kdntbrfFoXI,@katarinakurniawati8967,Se7 dokter boyke😅,2025-05-08T06:19:10Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
01VzjUUJjkk,@AbiMaullana,Kdm cerdas banget.jadi yang nerima bansos jadi ngg mau karena di pasek tomi sya juga ngg mau di kasih bansos walow 50jt  apalagi 1 jt😂😂😂😂😂sereeem,2025-05-04T13:07:52Z,0,vasektomi dedi mulyadi,"Tanggapi Rencana KB Vasektomi Dedi Mulyadi, MUI: Haram | Kabar Petang tvOne",3
kdntbrfFoXI,@ahmadjibril1976,Ham suruh buka pinjol aja biar bisa meinjemin uang yg anak nya banyak😊,2025-05-08T03:55:04Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@FullOfJoyInner,"Pak KDM terlalu OP untuk gurbernur lainnya, banyak trobosan sebagai percontohan ataupun bahan diskusi scientific layak calon RI 1. Realistis mungkin kerja yang terlihat berdampak langsung ke masyarakat baik atau buruk malah membangun sebuah diskusi untuk solusi.",2025-05-08T09:44:57Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@rodiankuma4798,"Kasihan ibu2 , udah hamil 8 bulan, melahirkan di tambah di suruh KB sama suaminya,kali2 suaminya yg di suruh KB..",2025-05-07T20:47:52Z,41,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@Lisnawati-b9h,Saya saja bukan dokter tahu vasektomi,2025-05-14T00:11:35Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
kdntbrfFoXI,@workingcorps3857,"Mau bilang mandra , eh dia wanita😂",2025-05-07T23:54:24Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
xLgvgFik15U,@arsysticker,Yang jadi masalah bukan banyak anaknya tapi pemerintahanya bobrok andai pemerintahannya jujur saya yakin seluruh rakyat indonesia akan sejahtra,2025-05-06T13:50:51Z,2,politik bansos vasektomi,Gubernur Dedi Mulyadi Luruskan Maksud Penerima Bansos Harus Vasektomi,3
1-Frn0a5H1o,@onlyhuman1625,3:46 gaada ena²nya kalo kaktus,2025-05-29T10:27:48Z,0,vasektomi keluarga miskin,"KANG DEDI MULYADI PENDENGAR MUSMAS?! SEPAKAT WARGA MISKIN HARUS VASEKTOMI, DILARANG BERKEMBANG BIAK!",2
kdntbrfFoXI,@otoyumbara5002,klo uda di gaji 20jt/bln enteng aja klo ngomong,2025-05-07T23:32:41Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,3
kdntbrfFoXI,@jonnykurniawan9992,Organisasi HAM lama² sama kaya MUI,2025-05-09T10:41:24Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@qurniafitrianto10,"kan dr kmrn juga sudah dibahas sama KDM
BISA DI KEMBALIKAN LAGI ENTAH ITU DISAMBUNG (DGN CARA LAMA), DI COPOT (CARA BARU)",2025-05-08T00:52:12Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@alfianrayz2560,Kok bayangin nya aja Ngilu ya.,2025-05-08T03:25:51Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
VXdCZ9bptes,@irwantosadikin8023,"Saya itu nyari pernyataan nya vasektomi tapi ga ketemu, yg ada di video MetroTV itu KB laki, sedangkan KB itu banyak salah satunya vasektomi. Jadi siapa yg nyatakan vasektomi, apa ingin jatuhin KDM ya",2025-05-04T10:02:49Z,2,vasektomi bansos,Jawab Dedi Mulyadi soal MUI Haramkan Vasektomi untuk Syarat Penerima Bansos,2
kdntbrfFoXI,@emilmafazi4364,Klo kasus anak 12 itu gue dukung vasektomi tapi klo di generalisasi semua yg mau terima bansos harus di vasektomi gue menentang,2025-05-08T11:30:27Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
C5TqR8OfoQk,@mahmudrs9046,Sudahlah kami sdh tak seperti manusia yg bodoh yg mana hanya utk popularitas dan merakyat. Tak akan lagi Mulyono berikutnya.,2025-05-11T19:18:48Z,0,vasektomi bansos,Dedi Mulyadi Meluruskan Perihal Vasektomi jadi Syarat Dapat Bansos | AKIM tvOne,3
01VzjUUJjkk,@RiaOfficialKerajinanTangan,"Sudah benar ada vasektomi, krn warga jabar tdk 100% muslim.",2025-05-06T16:08:43Z,0,vasektomi dedi mulyadi,"Tanggapi Rencana KB Vasektomi Dedi Mulyadi, MUI: Haram | Kabar Petang tvOne",1
C5TqR8OfoQk,@MixEtMax,"btw, vasektomi itu gak permanen kan?..",2025-05-07T02:10:19Z,0,vasektomi bansos,Dedi Mulyadi Meluruskan Perihal Vasektomi jadi Syarat Dapat Bansos | AKIM tvOne,2
uVfeG1yLMHs,@denaria8719,Program kerja gubernur selaras dengan kementerian kependudukan & keluarga berencana,2025-05-04T10:58:25Z,0,vasektomi jawa barat,"[HEADLINE NEWS, 04/05] Vasektomi Dianggap Haram Oleh MUI Jabar, Ini Tanggapan Gubernur Jabar",1
SCYRHwcEdM0,@onmydesk_ww,"KDM mau mengontrol populasi, gk usah banyak2 tapi berkualitas semua. Kalau pemerintah, biarin aja itu Hak masyarakat punya banyak anak, jadi rakyatnya tetep miskin, minim ilmu, jadi bisa diBODOHI oleh pemerintah. Nyampe sini pahamkan😊",2025-05-09T02:23:08Z,0,vasektomi bansos,"[FULL] Vasektomi Untuk Bansos, Solusi Atau Kontroversi? | HOTROOM",1
0sDqLamPQYQ,@hasmanboy8637,Adn.APRESIASI atas KESEDIAAN PEMIMPIN yg SELALU TERBUKA dg ASPIRASI RAKYAT tapi KEDEPAN agar TIDAK MEMBUAT PERNYATAAN atau KEBIJAKAN sebelum ada KONSULTASI dg PEMEGANG PANCASILA agar SEMAKIN BERWIBAWA n Masyarakat yg Dikawal Barisan Sang Saka n Korannya 17.01.2025 juga SUARA BARISAN SANG SAKA ; 03.11.2024 serta UNDANGAN FINAL .. ; ..02.2025 n WARTA BARISAN SANG SAKA ; 25.02 - 01.05 n 17.05.2025 (JIKA RENCANA NEGARA TIDAK JELAS MAKA PRESTASI AKAN AMBLAS !!!) n SUARA BSS ; 21.04 serta SURAT TUGAS No. SKD.001... ; 21.04.2025 guna Menjaga KONSTITUSI yg Disetujui Rakyat RI - PANCASILA - SANG MERAH PUTIH Uk. 100x150 Milik Kantor Pusat SEKRETARIAT Barisan Sang Saka yg Didukung 3 PATAKA LNM RI n BENDERA PUSAKA : PERLU BAHAS n EKSEKUSI terkait PENGUATAN SUPERVISI n PENGAWALAN thd PEJABAT NEGARA RI agar MAMPU MEWUJUDKAN HARAPAN MASYARAKAT ses AMANAT PEMBUKAAN UUD 1945 Modern yg SEJAHTERA BERKEADILAN BERKELANJUTAN agar ANAK CUCU MEMILIKI KEPASTIAN MASA DEPAN.,2025-05-07T02:06:58Z,0,politik bansos vasektomi,"Usai Gaduh, Dedi Mulyadi Klarifikasi Penerima Bansos Tak Harus Vasektomi",2
kdntbrfFoXI,@ArohAndrianto-f9v,"sikit-sikit ham, kerjanya apa anda Bu, tak guna orang seperti anda, KDM itu ingin masyarakat Jabar hidup sehat dan erlalu banyak anak",2025-05-08T23:29:06Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
xEKAVRwwWIk,@bilpikaboimau4360,"Tugas pemerintah membantu. Hati"" tuk kebijakan vasektomi ini. Jgn sampai hanya karena program ini maka perbuatan pak gubernur selama ini yg sebagian masyarakat mendukung pakenjadi benci.",2025-05-04T11:37:43Z,0,vasektomi dedi mulyadi,Respons Warga Soal Ide Dedi Mulyadi Jadikan Vasektomi Syarat Bansos | AKIM tvOne,3
xEKAVRwwWIk,@besetbenang,Saya salut dengan kdm tapi yang ini benar2 konyol,2025-05-02T13:08:42Z,7,vasektomi dedi mulyadi,Respons Warga Soal Ide Dedi Mulyadi Jadikan Vasektomi Syarat Bansos | AKIM tvOne,3
kdntbrfFoXI,@zuliansyahputra7522,Dr gendeng.,2025-05-07T21:48:11Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,3
uVfeG1yLMHs,@sendalmasjid1329,Jaman makin susah mengambil keputusan pencegahan punya anak banyak supaya tidak pada terlantar masuknya udah hukum dhorurot dan memilih mudhorot yg paling ringan untuk upaya pencegahan.,2025-05-04T17:11:53Z,0,vasektomi jawa barat,"[HEADLINE NEWS, 04/05] Vasektomi Dianggap Haram Oleh MUI Jabar, Ini Tanggapan Gubernur Jabar",1
1-Frn0a5H1o,@audioaiindo,"Sumpah.. kalo ngomongin ginian.. emang wajib diundang sih itu Mpok Citra.. yg eps dlu bener2 ketawa sampe nangis, yg ini meskipun cmn di telpon tp dia pecah bgt.. bener2 harus jd duta BKKBN itu Mpok Citra 😅😂",2025-05-16T11:25:26Z,0,vasektomi keluarga miskin,"KANG DEDI MULYADI PENDENGAR MUSMAS?! SEPAKAT WARGA MISKIN HARUS VASEKTOMI, DILARANG BERKEMBANG BIAK!",2
kdntbrfFoXI,@santriturungunung2384,Bang Hotman kasih kesempatan donk buat narasumber menjelaskan jangan dipotong2,2025-05-08T02:51:23Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
kdntbrfFoXI,@simaungzams8371,ham ham ham tuh anak kecil yg jualan di setipan lampu merah kenapa di diam kan,2025-05-08T08:24:50Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@evankurniawan6153,Ham ham ham di biayai asing buat rusak indo.mukanya org ham ini aneh” kyk otaknya licik,2025-05-08T15:39:05Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@yussidelove3075,"Jadi pemerintah tuh emng seharus nya turun lapangan ya, supaya tau keadaan nya masarakat miskin, jangan hanya cuap cuap,,",2025-05-09T05:43:22Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@TheBinut,"MUI seperti biasa......... jahil, g ngasih solusi",2025-05-08T10:51:53Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@Divonix,Tuh yang suka demo. demo ham bubar kan sekalian ketika ada kebijakan yang bagus di usik pada diyem,2025-05-08T06:16:10Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@agungputra-v5z,duu.. pajak kita buat orang2 yang ada di Komnas HAM. tolong besok di potong pajak buat HAM nya. gak guna ini.,2025-05-12T01:55:19Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
1-Frn0a5H1o,@gintani44,Masalah nya itu bpa kagak kerja tinggal d kontrakan yng kerja anak jualan apa g miris,2025-05-17T02:59:02Z,0,vasektomi keluarga miskin,"KANG DEDI MULYADI PENDENGAR MUSMAS?! SEPAKAT WARGA MISKIN HARUS VASEKTOMI, DILARANG BERKEMBANG BIAK!",1
kdntbrfFoXI,@annajoss7813,program KDM fasektomi boleh jg siiih ❤❤❤❤👍👍👍👍👍👍🦋🦋,2025-05-07T18:04:37Z,21,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
01VzjUUJjkk,@MomonMomon-m2s,"mui sok tau kalo anda bilang itu haram,,,
harusnya mui mengharamkan pil kb,,,
ayoh jawab gak bisa ya,,,,,
apa bedanya vasektomi sama pil kb,,
sama sama gak bisa bikin anak,,,
bedanya apa bozzzz,,,,",2025-05-03T10:03:09Z,0,vasektomi dedi mulyadi,"Tanggapi Rencana KB Vasektomi Dedi Mulyadi, MUI: Haram | Kabar Petang tvOne",1
1-Frn0a5H1o,@kdxZ__,"bullshit orang miskin bilang banyak anak banyak rejeki, tp gabisa ngurus anak, bilang aja lu doyan bikin nya doang, ngurus anak nya ogah",2025-05-16T23:47:08Z,0,vasektomi keluarga miskin,"KANG DEDI MULYADI PENDENGAR MUSMAS?! SEPAKAT WARGA MISKIN HARUS VASEKTOMI, DILARANG BERKEMBANG BIAK!",1
1-Frn0a5H1o,@jaelani2119,"terkadang, orang nikah kebanyakan modal pas"" san yang penting nikah dulu, karena ada desakan yang katanya minta keseriusan, terus nantinya gimana nanti, itulah akar masalahnya",2025-05-16T15:49:59Z,37,vasektomi keluarga miskin,"KANG DEDI MULYADI PENDENGAR MUSMAS?! SEPAKAT WARGA MISKIN HARUS VASEKTOMI, DILARANG BERKEMBANG BIAK!",2
SCYRHwcEdM0,@franhreidkorpnil7145,"Anak gk dapat gizi yg cukup itu melanggar ham lo, trus jgn kan anak. Org tua nya makan gk cukup gizinya terus bikin anak. Anda pikir anaknya bakal berkembang dgn bener? Masa pelaku pelanggar ham dilindungi sedangkan korban kita tutup mata.",2025-05-08T01:35:36Z,0,vasektomi bansos,"[FULL] Vasektomi Untuk Bansos, Solusi Atau Kontroversi? | HOTROOM",1
jysHHJVOTlA,@ShuraCapricorn-v2h,Kalo nga setuju jgn terima bansos,2025-05-01T13:09:48Z,0,kritik vasektomi bansos,Komentar Masyarakat Soal Pernyataan Dedi Mulyadi Usulkan Vasektomi Jadi Syarat Bansos  #shorts,1
1-Frn0a5H1o,@koigucurFKykFpUo,"Modal santai, nariknya bikin loncat-loncat!",2025-05-16T11:44:24Z,0,vasektomi keluarga miskin,"KANG DEDI MULYADI PENDENGAR MUSMAS?! SEPAKAT WARGA MISKIN HARUS VASEKTOMI, DILARANG BERKEMBANG BIAK!",2
uVfeG1yLMHs,@novandita9071,Saya ikuti MUI,2025-05-04T10:24:53Z,0,vasektomi jawa barat,"[HEADLINE NEWS, 04/05] Vasektomi Dianggap Haram Oleh MUI Jabar, Ini Tanggapan Gubernur Jabar",3
kdntbrfFoXI,@IisHendrayani-t5d,Komnasham itu laki makanya tidak punya nurani perempuan,2025-05-08T00:06:14Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
kdntbrfFoXI,@AhmadFaisal-dg6fp,Komnas HAM + wanita = gak berguna 😂,2025-05-13T10:01:39Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
C5TqR8OfoQk,@mufaza-id,Mana tuh buzzer butanya yg suka bela orang asal bela tanpa mikir...,2025-05-07T01:01:52Z,0,vasektomi bansos,Dedi Mulyadi Meluruskan Perihal Vasektomi jadi Syarat Dapat Bansos | AKIM tvOne,2
kdntbrfFoXI,@rubishlove2082,"Uang dari rakyat... Bukan uang pribadi gubernur... Uang rakyat untuk rakyat miskin... Eh gubernur malah bikin kewajiban buat vasektomi.. Lahh padahal kewajiban gubernur itu membuka lapangan kerja buat rakyat untuk kesejahteraan rakyat.. Bukan membuat kewajiban baru berupa prosedur medis yang jelas jelas beresiko dan tidak ada hubungannya dengan kesejahteraan rakyat. 

Sementara kewajiban gubernur yang utama tidak terpenuhi. Membuka lapangan pekerjaan untuk mengangkat rakyat dari kemiskinan..",2025-05-08T00:57:39Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,3
kdntbrfFoXI,@Youuuu8,Tpi kekurangan nya kna suami setan makin enak dia celup sana sini Tanpa tkt selingkuhan hamil,2025-05-07T23:14:03Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,3
kdntbrfFoXI,@ariefzafran7495,"HAM piyeeeee loooo... Melas bayik"" wis podo mdue adii... HAM biso mikir??",2025-05-08T13:32:37Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
78rwe4E73vY,@sindarman3356,Kalau bawah agama di masyarakat ampuh tu😅😅😅tapi gak ada hadist dan firmannya yang melarang😅😅😅,2025-05-06T15:13:50Z,2,vasektomi bansos,"[LIVE] Dedi Mulyadi: Mau Bansos, Vasektomi Dulu? | Catatan Demokrasi tvOne",1
kdntbrfFoXI,@wendyfebtivideo2042,"SAYA SETUJU. Untuk menekan populasi, mengurangi kemiskinan",2025-05-11T13:48:12Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
EJNMlD8KSH0,@UbU-l4d,"Saran
1.vasektomi
2.beli sapu buat kebersihan",2025-04-29T06:36:32Z,0,vasektomi bansos,Dedi Mulyadi Usulkan Penerima Bansos Dengan Syarat Vasektomi,2
1-Frn0a5H1o,@shiitakey8888,Yang Mulia AXIS keluarlah!!!,2025-05-16T12:21:58Z,0,vasektomi keluarga miskin,"KANG DEDI MULYADI PENDENGAR MUSMAS?! SEPAKAT WARGA MISKIN HARUS VASEKTOMI, DILARANG BERKEMBANG BIAK!",2
kdntbrfFoXI,@GARENAFF-y5c,"HAM lagi HAM lagi....🤣🤣🤣 Apa gunanya sih HAM...?
Serius nanya...?",2025-05-08T11:59:14Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
xEKAVRwwWIk,@subher,"itu namanya bukan BANtuan SOSial, tapi
PEMusnahan SOSial, psikopat",2025-05-02T12:46:06Z,8,vasektomi dedi mulyadi,Respons Warga Soal Ide Dedi Mulyadi Jadikan Vasektomi Syarat Bansos | AKIM tvOne,3
EJNMlD8KSH0,@multatuli1,Betul mengurangi jumlah kriminil geng motor di jalan 😅,2025-04-29T03:28:19Z,9,vasektomi bansos,Dedi Mulyadi Usulkan Penerima Bansos Dengan Syarat Vasektomi,2
EJNMlD8KSH0,@yukiko_5051,"Bagus ini. Yang gak setuju, berarti kalian tidak manusiawi menciptakan manusia baru yang akan hidup susah seperti kalian 😂",2025-04-29T04:54:25Z,13,vasektomi bansos,Dedi Mulyadi Usulkan Penerima Bansos Dengan Syarat Vasektomi,1
tW-kXQBDbfI,@gargamel8777,Media jng menggiring opini warga net.,2025-05-06T16:33:02Z,0,vasektomi keluarga miskin,Respons Dedi Mulyadi Soal Fatwa MUI Jabar yang Haramkan Vasektomi sebagai Syarat Bansos,2
kdntbrfFoXI,@vitaauliachandini,maximal anak brapa yg di anjurkan ambil vasektomi..,2025-05-11T07:44:39Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
uVfeG1yLMHs,@ACBS0590,"MUI sdh benar itu.. Vasectomy itu memutuskan saluran vas deferens supaya sprma tdk bsa dikeluarkan, sifatnya permanen.. Jelas sebabkan kemandulan.. Sekalipun permanen, bsa diperbaiki dg cara disambung lg (reverse vasectomy/vasovasotomy), tp ya tingkat keberhasilannya tergantung bbrp faktor, terlebih pengaruhnya terhadap fertilitas.. Ini para dokter kok pd diem aj ya..?? Khususnya dr bedah.. Jelas2 ""Vas + Ectomy""..",2025-05-04T23:25:23Z,0,vasektomi jawa barat,"[HEADLINE NEWS, 04/05] Vasektomi Dianggap Haram Oleh MUI Jabar, Ini Tanggapan Gubernur Jabar",3
I8KPAIUQLH0,@Kuswannurrohman,"Ono ono kyknya lu yg pingin viral,,,,stop pilih dr banyeng kedepannya krn gk punya efek positif buat warga jabar",2025-05-05T10:58:17Z,2,politik bansos vasektomi,"Gimmick Bansos, Dedi Mulyadi Langgar Undang Undang? #shorts",1
78rwe4E73vY,@DediDarma-oq6en,Ulama kolot perlu dikasih edikasi dukung terus KDM,2025-05-10T20:17:48Z,0,vasektomi bansos,"[LIVE] Dedi Mulyadi: Mau Bansos, Vasektomi Dulu? | Catatan Demokrasi tvOne",1
kdntbrfFoXI,@bundaqirawis3381,Pak Hotman bisa gak klo narasumber lgi nerangin tuh jangan suka dipotong2...jd penjelasan nya tuh g maksimal,2025-05-08T01:09:56Z,2,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
SCYRHwcEdM0,@dicsurya,"🤣Rating/viewers yang penting naik, tapi gak cermati kasusnya. KDM gak mengharuskan vasektomi tapi masih banyak bentuk KB yang lain. Mikirlah...",2025-05-09T07:18:05Z,0,vasektomi bansos,"[FULL] Vasektomi Untuk Bansos, Solusi Atau Kontroversi? | HOTROOM",2
uVfeG1yLMHs,@R_CENEL,MUI...LAGI 😂😂😂... 1 TAHUN LALU UDAH DI BAHAS SAMA KANG DEDY . ...BELUM DI JAWAB .TU😂,2025-05-04T13:50:29Z,0,vasektomi jawa barat,"[HEADLINE NEWS, 04/05] Vasektomi Dianggap Haram Oleh MUI Jabar, Ini Tanggapan Gubernur Jabar",1
V4JwiKRuV7U,@Sankichup,"Ortu miskin yg punya anak 10. Apa itu ga melanggar HAM?? Anak punya hak buat hidup layak.. gak sekolah malah di suru jualan di lampu merah, ngamen, mulung... pengamat2 ajg..",2025-05-01T12:46:00Z,0,vasektomi jawa barat,Komentar Masyarakat soal Wacana Vasektomi Sebagai Syarat Terima Bansos | AKIS tvOne,1
kdntbrfFoXI,@teddyandriansyah648,"ini si ibu gimana sih itu kan ada dua opsi atau dua pilihan,
1 kalau mau bansos berarti lelakinya harus di vasektomi,,
2,kalau tidak nau bansos berarti lelakinya tidak harus di vasektomi,,
ini pilihan apa bukan ya,,
vasektomi juga itu kan buat keluarga anaknya yang udah banyak atau lebih dari 2 anak,,
maaf itu juga kalau tidak salah  🙏",2025-05-08T23:07:26Z,2,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
78rwe4E73vY,@chnoe5003,"Tapi saya sepakat bahwa bantuan harus bersyarat. Kalo nggak ya semuanya cuma bakal seenak jidat, pakai agama sebagai alasan pembenar. Besok pas anaknya sudah dewasa, nggak sekolah, miskin, minta lagi bantuan negara. Padahal awalnya karena dipandu agama secara membabi buta. 
Padahal yang bayarin tuh tetangganya karena duit negara kan dari pajak alias dibayarin tetangga...",2025-05-13T02:02:44Z,0,vasektomi bansos,"[LIVE] Dedi Mulyadi: Mau Bansos, Vasektomi Dulu? | Catatan Demokrasi tvOne",1
MX3EsyJNIAU,@Belekbek123,Kayanya pasektomi itu untuk yg sudah punya anak 2/3 bahkan lebih dari 3...,2025-05-01T18:05:16Z,0,vasektomi dedi mulyadi,Komentar Masyarakat Soal Pernyataan Dedi Mulyadi Usulkan Vasektomi Jadi Syarat Bansos [Newsline],2
kdntbrfFoXI,@hana-0203,Terus bagaimana kalau dgn ekonomi terbatas dan memiliki banyak anak dan anaknya di suruh jualan untuk menyambung hidup lalu bagaimana apakah gk lebih baik vasektomi. Dan apa itu tidak melanggar atau meng eksploitasi anak,2025-05-07T23:07:39Z,1,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,1
kdntbrfFoXI,@Khayra-cy4xq,"Banyak anak ngk apa2, tapi pendidikan agama dan pendapatan juga harus kita sediakan lah, kebanyakan org miskin melahirkan ank ya udh gitu aja, pendidikan agama, dll kurang, malah jdi beban lagi kn buat ortu, jdi penganguran",2025-05-08T01:38:01Z,0,vasektomi jawa barat,Kata Dokter Boyke soal Wacana Vasektomi di Jawa Barat #HOTROOM,2
01VzjUUJjkk,@abidinrimba7837,MUI urusin korupsi aja yg jelas jelas haram ga usah ikut campur program kdm brisik doank mui,2025-05-02T22:29:27Z,1,vasektomi dedi mulyadi,"Tanggapi Rencana KB Vasektomi Dedi Mulyadi, MUI: Haram | Kabar Petang tvOne",1
